Publisher ID,Publisher Name,Keyword ID,Keyword,Match Type,Campaign,Keyword Group,Category,Bid Strategy,Keyword Type,Status,Search Engine Bid,Clicks,Avg. Cost per Click,Impressions,Engine Click Thru %,Avg. Pos.,Trans. Conv. %,Total Cost/ Trans.,Amount,Total Cost,Total Volume of Bookings
K2615,Yahoo - US,4.30E+16,fly to florence,Advanced,Western Europe Destinations,Florence,uncategorized,,Unassigned,Live,6.25,1,2.31,11,0.091,1.27,9,0.26,8777.95,2.31,9
K2615,Yahoo - US,4.30E+16,low international airfare,Advanced,Geo Targeted DC,Low International DC,uncategorized,,Unassigned,Paused,6.25,1,0.63,6,0.167,1,1,0.63,1574.2,0.63,1
K2003,MSN - Global,4.30E+16,air discount france ticket,Broad,Air France Brand & French Destinations,France,uncategorized,Position 2-5 Bid Strategy,Unassigned,Deactivated,0,1,0.39,9,0.111,1.11,1,0.39,390.15,0.39,1
K1175,Google - Global,4.30E+16,[airfrance],Exact,Air France Global Campaign,Air France,airfrance,Position 1- 3,Unassigned,Unavailable,7.5,59,0.04,401,0.147,2,0.034,1.16,1665.15,2.31,2
K1123,Overture - Global,4.30E+16,air france online booking,Standard,Unassigned,Unassigned,airfrance,Position 1-2 Target,Unassigned,Paused,0.25,8,0.28,318,0.025,2.98,0.125,2.2,935,2.2,1
K1123,Overture - Global,4.30E+16,"airfrance,com",Standard,Unassigned,Unassigned,airfrancewebsite,Position 1-2 Target,Unassigned,Paused,0.13,42,0.13,722,0.058,1.13,0.048,2.63,1817.3,5.25,2
K435,Google - US,4.30E+16,paris cheap airline,Broad,Geo Targeted San Francisco,San Francisco to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,6.25,3,1.74,13,0.231,1,0.333,5.21,1685.55,5.21,1
K1122,Overture - US,4.30E+16,airfrance.us,Standard,Unassigned,Unassigned,airfrance,Position 1-4 Bid Strategy,Unassigned,Paused,0.33,47,0.25,547,0.086,1.18,0.043,5.9,3796.1,11.8,2
K1123,Overture - Global,4.30E+16,air travel to paris,Standard,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Unavailable,7.5,13,0.4,448,0.029,1.86,0.077,5.21,1513,5.21,1
K1175,Google - Global,4.30E+16,air france site,Broad,Air France Brand & French Destinations,Air France Website,uncategorized,,Unassigned,Unavailable,5,19,0.43,129,0.147,1.03,0.053,8.24,2348.55,8.24,1
K1123,Overture - Global,4.30E+16,cheap fare to paris,Advanced,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,0.69,29,0.92,559,0.052,2.33,0.069,13.31,7418.8,26.61,2
K1122,Overture - US,4.30E+16,air france.com,Standard,Unassigned,Unassigned,airfrance,Position 1-4 Bid Strategy,Unassigned,Paused,0.31,273,0.17,3171,0.086,1.01,0.037,4.63,11271.85,46.35,10
K435,Google - US,4.30E+16,air france us,Broad,Air France Branded,Air France Website,uncategorized,,Unassigned,Live,10,231,0.43,1277,0.181,1.02,0.087,4.98,23076.65,99.55,20
K435,Google - US,4.30E+16,airfrance,Broad,Air France Branded,Air France Website,uncategorized,,Unassigned,Paused,10,907,0.26,4352,0.208,1.01,0.029,9.04,48551.15,235.11,26
K1122,Overture - US,4.30E+16,cdg flight,Standard,Unassigned,Unassigned,paris,Position 2-5 Bid Strategy,Unassigned,Paused,0.13,18,0.26,169,0.107,1.66,0.056,4.75,896.75,4.75,1
K435,Google - US,4.30E+16,airfrance us,Broad,Air France Branded,Air France Website,uncategorized,,Unassigned,Live,10,207,0.15,730,0.284,1,0.024,6.16,5733.25,30.79,5
K435,Google - US,4.30E+16,france airline ticket,Broad,Geo Targeted New York,New York to France Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Live,6.25,2,1.34,24,0.083,1.54,0.5,2.69,494.7,2.69,1
K435,Google - US,4.30E+16,airfrance website,Broad,Air France Branded,Air France Website,uncategorized,Position 2-5 Bid Strategy,Unassigned,Live,0.71,10,0.99,80,0.125,1.06,0.1,9.94,1815.6,9.94,1
K1123,Overture - Global,4.30E+16,airplane france ticket,Advanced,Unassigned,Unassigned,airline,Position 1-2 Target,Unassigned,Paused,0.44,16,0.52,6073,0.003,2.46,0.063,8.31,1473.9,8.31,1
K435,Google - US,4.30E+16,france airfare sale,Broad,Geo Targeted Miami,Miami to France Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,6.25,1,2.76,2,0.5,1,1,2.76,470.05,2.76,1
K1123,Overture - Global,4.30E+16,air france schedule,Advanced,Unassigned,Unassigned,airfrance,Position 1-2 Target,Unassigned,Paused,0.33,30,0.36,2192,0.014,1.52,0.033,10.71,1785,10.71,1
K1123,Overture - Global,4.30E+16,airfare to tahiti,Standard,Unassigned,Unassigned,tahiti,,Unassigned,Paused,10,6,2.05,102,0.059,4.16,0.167,12.27,1989,12.27,1
K435,Google - US,4.30E+16,france flights,Broad,Geo Targeted DC,DC to France Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,6.25,6,3.06,137,0.044,1.2,0.5,6.12,2810.1,18.35,3
K435,Google - US,4.30E+16,international airfares,Broad,Geo Targeted Detroit,International Detroit,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,6.25,2,3.3,79,0.025,3.01,0.5,6.6,923.95,6.6,1
K435,Google - US,4.30E+16,france air ticket,Broad,Geo Targeted New York,New York to France Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Live,6.25,12,1.62,116,0.103,1.09,0.333,4.85,2706.4,19.4,4
K1122,Overture - US,4.30E+16,airfrance.com/us,Standard,Unassigned,Unassigned,airfrance,,Unassigned,Paused,7.5,17,0.33,98,0.174,0.96,0.059,5.59,778.6,5.59,1
K435,Google - US,4.30E+16,paris cheap ticket,Broad,Geo Targeted Boston,Boston to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,6.25,3,1.71,18,0.167,1.83,0.333,5.14,676.6,5.14,1
K435,Google - US,4.30E+16,paris cheap flights,Broad,Geo Targeted Houston,Houston to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,6.25,21,2.07,174,0.121,1.32,0.143,14.46,5638.05,43.39,3
K1122,Overture - US,4.30E+16,tunis,Standard,Unassigned,Unassigned,regional,Position 1-4 Bid Strategy,Unassigned,Paused,11.25,36,0.7,832,0.043,1.41,0.083,8.46,3254.65,25.37,3
K2615,Yahoo - US,4.30E+16,france travel agency,Standard,Paris & France Terms,France,uncategorized,,Unassigned,Live,6.25,5,3.09,167,0.03,1.24,0.4,7.72,1978.8,15.44,2
K1175,Google - Global,4.30E+16,air france airlines,Broad,Air France Global Campaign,Air France,airfrance,Position 1- 3,Unassigned,Unavailable,1.25,228,0.24,3747,0.061,1.42,0.018,13.83,6873.1,55.31,4
K1175,Google - Global,4.30E+16,lyon airfare,Broad,Air France Global Campaign,Lyon,lyon,Position 1- 3,Unassigned,Unavailable,1.25,12,1.25,1030,0.012,1.31,0.167,7.51,1836,15.02,2
K1123,Overture - Global,4.30E+16,air france web site,Standard,Unassigned,Unassigned,airfrance,Position 1-2 Target,Unassigned,Paused,0.29,17,0.32,752,0.023,2.22,0.059,5.39,637.5,5.39,1
K1175,Google - Global,4.30E+16,cont:air france global campaign::france,N/A,Air France Global Campaign,France,uncategorized,,Unassigned,Unavailable,7.5,49,0.22,4780,0.01,4.84,0.02,11,1296.25,11,1
K435,Google - US,4.30E+16,airfrance.com,Broad,Air France Branded,Air France Website,uncategorized,,Unassigned,Live,10,1260,0.29,6231,0.202,1.01,0.025,11.43,42538.25,365.8,32
K2615,Yahoo - US,4.30E+16,airfrance.us,Advanced,Air France Branded,Air France Website,uncategorized,,Unassigned,Live,7.5,242,0.36,1371,0.177,1.02,0.058,6.26,10140.5,87.57,14
K435,Google - US,4.30E+16,book airfrance,Broad,Air France Branded,Air France Brand,uncategorized,Position 1 -2 Target,Unassigned,Live,10,4,1.5,43,0.093,1.09,0.25,6,671.5,6,1
K1175,Google - Global,4.30E+16,nice flight,Broad,Air France Global Campaign,Nice,nice,Position 1- 3,Unassigned,Unavailable,1.25,28,1.3,2356,0.012,1.55,0.107,12.14,3944,36.42,3
K435,Google - US,4.30E+16,airfrance.us,Broad,Air France Branded,Air France Website,uncategorized,,Unassigned,Live,10,25,0.28,132,0.189,1,0.04,6.95,751.4,6.95,1
K2615,Yahoo - US,4.30E+16,rome travel,Advanced,Western Europe Destinations,Rome,uncategorized,,Unassigned,Live,2.7,27,2.09,1051,0.026,2.86,0.148,14.1,5729,56.41,4
K435,Google - US,4.30E+16,rabat flights,Broad,Google_Yearlong 2006,Google|rabat,uncategorized,Postiion 1-4 Bid Strategy,Unassigned,Paused,6.25,11,1.28,361,0.031,1.14,0.091,14.07,1402.5,14.07,1
K2615,Yahoo - US,4.30E+16,"airfrance,com",Advanced,Air France Branded,Air France Website,uncategorized,,Unassigned,Live,7.5,48,0.15,298,0.161,1,0.021,7.31,718.25,7.31,1
K1123,Overture - Global,4.30E+16,air france phone number,Standard,Unassigned,Unassigned,airfrance,Position 1-2 Target,Unassigned,Paused,0.13,65,0.15,1831,0.036,2.48,0.015,9.71,947.75,9.71,1
K1122,Overture - US,4.30E+16,airline ticket to france,Standard,Unassigned,Unassigned,france,Position 1-4 Bid Strategy,Unassigned,Paused,1.26,14,0.73,225,0.062,2.1,0.071,10.26,991.1,10.26,1
K1175,Google - Global,4.30E+16,airfrance com,Broad,Air France Global Campaign,Air France Website,airfrancewebsite,Position 1- 3,Unassigned,Unavailable,2.5,548,0.45,2919,0.188,1.47,0.022,20.66,23041.8,247.94,12
K1123,Overture - Global,4.30E+16,new york to paris,Advanced,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,0.73,39,0.63,2364,0.017,3.63,0.026,24.44,2226.15,24.44,1
K435,Google - US,4.30E+16,cont:google_yearlong 2006::google|europe,N/A,Google_Yearlong 2006,Google|Europe,uncategorized,,Unassigned,Unavailable,7.5,112,0.28,157285,0.001,2.31,0.009,31.65,2882.35,31.65,1
K435,Google - US,4.30E+16,airfrance,Broad,Air France Branded,Air France Brand,uncategorized,,Unassigned,Live,27.5,11789,0.2,78814,0.15,1.13,0.019,11.07,216915.75,2412.51,218
K1123,Overture - Global,4.30E+16,cheap travel france,Advanced,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,0.48,20,0.52,501,0.04,2.12,0.05,10.4,935,10.4,1
K435,Google - US,4.30E+16,paris flight,Broad,Geo Targeted Philadelphia,Philadelphia to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,6.25,2,2.44,38,0.053,1.71,0.5,4.89,434.35,4.89,1
K1123,Overture - Global,4.30E+16,airfrance.us,Advanced,Unassigned,Unassigned,airfrancewebsite,Position 1-2 Target,Unassigned,Paused,0.14,207,0.17,1100,0.188,1.17,0.019,8.72,3035.35,34.87,4
K435,Google - US,4.30E+16,airfrance airlines,Broad,Air France Branded,Air France Brand,uncategorized,Position 1 -2 Target,Unassigned,Live,0.35,116,0.51,776,0.15,1.3,0.043,11.87,5146.75,59.35,5
K435,Google - US,4.30E+16,florence cheap tickets,Broad,Geo Targeted New York,New York to Florence Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,6.25,3,1.99,6,0.5,2,0.333,5.97,490.45,5.97,1
K2615,Yahoo - US,4.30E+16,air france travel,Advanced,Air France Branded,Air France Brand,uncategorized,,Unassigned,Live,6.25,24,1.41,1171,0.021,3.07,0.042,33.79,2772.7,33.79,1
K435,Google - US,4.30E+16,rome fare,Broad,Google_Yearlong 2006,Google|Rome,uncategorized,Postiion 1-4 Bid Strategy,Unassigned,Paused,6.25,14,1.44,310,0.045,1.49,0.071,20.11,1489.2,20.11,1
K435,Google - US,4.30E+16,air france com,Broad,Air France Branded,Air France Website,uncategorized,Postiion 1-4 Bid Strategy,Unassigned,Live,15,6119,0.31,15166,0.404,1.04,0.019,16.29,132065.35,1905.86,117
K2966,MSN - US,4.30E+16,air travel in france,Broad,Air France Brand & French Destinations,France,uncategorized,,Unassigned,Live,0,2,3.78,35,0.057,6.08,0.5,7.56,512.55,7.56,1
K435,Google - US,4.30E+16,airfrance usa,Broad,Air France Branded,Air France Website,uncategorized,,Unassigned,Live,10,57,0.26,200,0.285,1.01,0.018,15,1008.95,15,1
K435,Google - US,4.30E+16,france cheap tickets,Broad,Geo Targeted DC,DC to France Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,6.25,3,2.46,22,0.136,1.09,0.333,7.39,490.45,7.39,1
K1123,Overture - Global,4.30E+16,boston to paris,Advanced,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,0.73,23,0.55,699,0.033,2.5,0.044,12.59,806.65,12.59,1
K435,Google - US,4.30E+16,paris ticket,Broad,Geo Targeted Chicago,Chicago to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,6.25,6,2.45,97,0.062,1.26,0.167,14.72,940.95,14.72,1
K1175,Google - Global,4.30E+16,air france com,Broad,Air France Global Campaign,Air France Website,airfrancewebsite,Position 1- 3,Unassigned,Unavailable,0,661,0.31,2703,0.245,1.48,0.015,20.28,11950.15,202.8,10
K1123,Overture - Global,4.30E+16,cheap airline ticket to france,Advanced,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,0.31,26,0.62,9279,0.003,2.4,0.039,16.06,935,16.06,1
K1175,Google - Global,4.30E+16,air france com,Broad,Air France Brand & French Destinations,Air France Website,uncategorized,,Unassigned,Unavailable,5,568,0.46,1710,0.332,1.11,0.023,20.24,15011,263.12,13
K1123,Overture - Global,4.30E+16,airfrance.com,Standard,Unassigned,Unassigned,airfrancewebsite,,Unassigned,Paused,8.75,2010,0.29,37801,0.053,1.16,0.018,15.95,32613.65,574.25,36
K435,Google - US,4.30E+16,air france website,Broad,Air France Branded,Air France Website,uncategorized,Position 2-5 Bid Strategy,Unassigned,Live,0.3,187,0.36,899,0.208,1.14,0.021,16.64,3621,66.56,4
K435,Google - US,4.30E+16,paris air fares,Broad,Geo Targeted New York,New York to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Live,6.25,10,2.5,41,0.244,1.19,0.1,25.01,1360,25.01,1
K1122,Overture - US,4.30E+16,europe ticket,Standard,Unassigned,Unassigned,europe2,Position 1-4 Bid Strategy,Unassigned,Paused,0.86,123,0.66,3325,0.037,2.17,0.016,40.66,4187.1,81.31,2
K435,Google - US,4.30E+16,paris air flight,Broad,Geo Targeted Houston,Houston to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,6.25,4,2.12,20,0.2,1.35,0.25,8.49,426.7,8.49,1
K435,Google - US,4.30E+16,paris airfares,Broad,Geo Targeted New York,New York to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Live,6.25,21,2.39,195,0.108,1.87,0.095,25.1,2450.55,50.2,2
K1175,Google - Global,4.30E+16,[air france],Exact,Air France Global Campaign,Air France,airfrance,Position 1- 3,Unassigned,Unavailable,1.25,11150,0.44,107222,0.104,1.83,0.016,27.45,235965.95,4886.1,178
K1123,Overture - Global,4.30E+16,air france fr,Advanced,Unassigned,Unassigned,airfrancewebsite,,Unassigned,Paused,7.5,60,0.28,3370,0.018,1.04,0.017,16.75,769.25,16.75,1
K435,Google - US,4.30E+16,airfrance com,Broad,Air France Branded,Air France Website,uncategorized,Postiion 1-4 Bid Strategy,Unassigned,Live,11.5,3853,0.43,22668,0.17,1.05,0.017,26.11,76245.85,1670.74,64
K435,Google - US,4.30E+16,air france usa,Broad,Air France Branded,Air France Website,uncategorized,,Unassigned,Live,10,558,0.43,1602,0.348,1.03,0.02,21.93,10767.8,241.19,11
K1123,Overture - Global,4.30E+16,air france.com,Advanced,Unassigned,Unassigned,airfrancewebsite,,Unassigned,Paused,8.75,681,0.19,7996,0.085,1.18,0.01,18.61,5767.25,130.27,7
K435,Google - US,4.30E+16,paris tickets,Broad,Geo Targeted Seattle,Seattle to Paris Sale,uncategorized,Position 2-5 Bid Strategy,Unassigned,Paused,5,12,2.84,538,0.022,1.69,0.083,34.09,1439.9,34.09,1
K435,Google - US,4.30E+16,paris cheap air tickets,Broad,Geo Targeted New York,New York to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Live,6.25,5,2.42,7,0.714,1,0.2,12.11,494.7,12.11,1
K1175,Google - Global,4.30E+16,paris airline,Broad,Air France Global Campaign,Tour de France,uncategorized,,Unassigned,Unavailable,6.25,16,1.71,1602,0.01,1.24,0.063,27.43,1098.2,27.43,1
K435,Google - US,4.30E+16,france airlines,Broad,Geo Targeted New York,New York to France Sale,uncategorized,Postiion 1-4 Bid Strategy,Unassigned,Live,6.25,119,2.41,4403,0.027,1.68,0.076,31.81,11301.6,286.3,9
K435,Google - US,4.30E+16,france air flight,Broad,Geo Targeted New York,New York to France Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Live,6.25,55,0.75,776,0.071,1.04,0.036,20.7,1616.7,41.4,2
K435,Google - US,4.30E+16,france air flight,Broad,Geo Targeted Los Angeles,Los Angeles to France Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,6.25,9,1.38,67,0.134,1.14,0.111,12.42,483.65,12.42,1
K435,Google - US,4.30E+16,[air france],Exact,Air France Branded,Air France Brand,uncategorized,,Unassigned,Live,27.5,30418,0.44,188409,0.161,1.27,0.014,30.38,515791.9,13336.81,439
K435,Google - US,4.30E+16,airfrance tickets,Broad,Air France Branded,Air France Brand,uncategorized,Position 1 -2 Target,Unassigned,Live,0.93,33,0.89,241,0.137,1.19,0.03,29.26,1123.7,29.26,1
K435,Google - US,4.30E+16,airfrance airline,Broad,Air France Branded,Air France Brand,uncategorized,Position 1 -2 Target,Unassigned,Live,0.29,95,0.53,712,0.133,1.31,0.011,50.39,1887,50.39,1
K2615,Yahoo - US,4.30E+16,international flight,Advanced,Geo Targeted Chicago,International Chicago,uncategorized,,Unassigned,Live,6.25,86,1.38,1215,0.071,1.32,0.012,118.89,4403.85,118.89,1
K1175,Google - Global,4.30E+16,airfrance,Broad,Air France Global Campaign,Air France,airfrance,Position 1- 3,Unassigned,Unavailable,2.5,1383,0.72,23310,0.059,1.65,0.027,26.98,35357.45,998.39,37
K2615,Yahoo - US,4.30E+16,airfrance.com,Advanced,Air France Branded,Air France Website,uncategorized,,Unassigned,Live,7.5,4023,0.87,24934,0.161,1.27,0.021,41.08,121372.35,3491.79,85
K1123,Overture - Global,4.30E+16,airline ticket to france,Advanced,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Unavailable,7.5,43,0.85,825,0.052,1.79,0.023,36.76,1274.15,36.76,1
K435,Google - US,4.30E+16,paris airfare,Broad,Geo Targeted Chicago,Chicago to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,6.25,24,1.85,194,0.124,1.71,0.042,44.51,1530,44.51,1
K1123,Overture - Global,4.30E+16,air france reservation,Advanced,Unassigned,Unassigned,airfrance,Position 1-2 Target,Unassigned,Paused,0.45,302,0.59,22484,0.013,1.31,0.02,29.46,5888.8,176.77,6
K1123,Overture - Global,4.30E+16,air france usa,Advanced,Unassigned,Unassigned,airfrance,Position 1-2 Target,Unassigned,Paused,7.5,116,0.36,4815,0.024,1.99,0.009,41.95,1394.85,41.95,1
K435,Google - US,4.30E+16,italy airline,Broad,Geo Targeted San Francisco,San Francisco to Italy Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,6.25,16,1.61,163,0.098,1.57,0.063,25.75,850,25.75,1
K2615,Yahoo - US,4.30E+16,international air fare,Advanced,Geo Targeted New York,International New York,uncategorized,,Unassigned,Paused,6.25,10,2.58,830,0.012,3.44,0.1,25.79,816,25.79,1
K2615,Yahoo - US,4.30E+16,airfrance,Advanced,Air France Branded,Air France Website,uncategorized,,Unassigned,Live,7.5,23893,0.75,162070,0.147,1.6,0.018,42.61,567463.4,17939.35,421
K2966,MSN - US,4.30E+16,airfrance com,Broad,Air France Brand & French Destinations,Air France Website,uncategorized,,Unassigned,Live,0,1498,0.64,5490,0.273,1.15,0.016,39.64,30053.45,951.31,24
K1123,Overture - Global,4.30E+16,air france us,Advanced,Unassigned,Unassigned,airfrance,Position 1-2 Target,Unassigned,Paused,7.5,87,0.44,2505,0.035,1.19,0.012,38.69,1202.75,38.69,1
K2615,Yahoo - US,4.30E+16,france flight,Standard,Paris & France Terms,France,uncategorized,,Unassigned,Live,6.25,107,1.27,3137,0.034,1,0.009,136.3,4148,136.3,1
K1122,Overture - US,4.30E+16,air france,Standard,Unassigned,Unassigned,airfrance,Position 1-4 Bid Strategy,Unassigned,Unavailable,7.5,2235,0.64,38432,0.058,1.37,0.017,37.93,43020.2,1441.32,38
K435,Google - US,4.30E+16,air france airlines,Broad,Air France Branded,Air France Brand,uncategorized,Position 1 -2 Target,Unassigned,Live,18.75,2454,0.43,11128,0.221,1.18,0.011,37.53,31200.1,1050.79,28
K1122,Overture - US,4.30E+16,airfare paris france,Standard,Unassigned,Unassigned,paris,Position 2-5 Bid Strategy,Unassigned,Paused,0.7,19,1.03,200,0.095,2.17,0.053,19.54,569.5,19.54,1
